failed to get console mode for stdout: The handle is invalid.
grafana-1  | logger=settings t=2026-03-21T15:56:42.00194489Z level=info msg="Starting Grafana" version=12.4.1 commit=46a02dc12a085445ab105b72fa159248f7d1dc9d branch=release-12.4.1 compiled=2026-03-21T15:56:41Z
grafana-1  | logger=settings t=2026-03-21T15:56:42.002314898Z level=info msg="Unified migration configs enforced"
grafana-1  | logger=settings t=2026-03-21T15:56:42.002341699Z level=info msg="Enforcing mode 5 for resource in unified storage" resource=playlists.playlist.grafana.app
grafana-1  | logger=settings t=2026-03-21T15:56:42.0023827Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana-1  | logger=settings t=2026-03-21T15:56:42.0023997Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024039Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana-1  | logger=settings t=2026-03-21T15:56:42.002406Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024077Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024101Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024119Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024139Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024159Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana-1  | logger=settings t=2026-03-21T15:56:42.002418Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024206Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024232Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
grafana-1  | logger=settings t=2026-03-21T15:56:42.0024252Z level=info msg=Target target=[all]
grafana-1  | logger=settings t=2026-03-21T15:56:42.002445001Z level=info msg="Path Home" path=/usr/share/grafana
grafana-1  | logger=settings t=2026-03-21T15:56:42.002448501Z level=info msg="Path Data" path=/var/lib/grafana
grafana-1  | logger=settings t=2026-03-21T15:56:42.002450501Z level=info msg="Path Logs" path=/var/log/grafana
grafana-1  | logger=settings t=2026-03-21T15:56:42.002452401Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana-1  | logger=settings t=2026-03-21T15:56:42.002454301Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
grafana-1  | logger=settings t=2026-03-21T15:56:42.002456301Z level=info msg="App mode production"
grafana-1  | logger=featuremgmt t=2026-03-21T15:56:42.002940811Z level=info msg=FeatureToggles lokiLabelNamesQueryApi=true alertingRulePermanentlyDelete=true alertingRuleVersionHistoryRestore=true alertingUIOptimizeReducer=true newFiltersUI=true alertingQueryAndExpressionsStepMode=true newLogsPanel=true alertingBulkActionsInUI=true sharingDashboardImage=true kubernetesDashboards=true logsPanelControls=true alertRuleRestore=true grafanaAssistantInProfilesDrilldown=true alertingMigrationUI=true cloudWatchRoundUpEndTime=true onlyStoreActionSets=true grafanaconThemes=true prometheusAzureOverrideAudience=true useSessionStorageForRedirection=true newPanelPadding=true lokiQuerySplitting=true alertingRuleRecoverDeleted=true dashgpt=true annotationPermissionUpdate=true dashboardScene=true cloudWatchCrossAccountQuerying=true alertingSaveStateCompressed=true enableSCIM=true alertingUseNewSimplifiedRoutingHashAlgorithm=true influxdbBackendMigration=true timeRangePan=true alertingNotificationsStepMode=true awsAsyncQueryCaching=true preventPanelChromeOverflow=true logsExploreTableVisualisation=true azureMonitorEnableUserAuth=true cloudWatchNewLabelParsing=true awsDatasourcesTempCredentials=true azureMonitorPrometheusExemplars=true improvedExternalSessionHandlingSAML=true alertingImportYAMLUI=true logsContextDatasourceUi=true azureResourcePickerUpdates=true improvedExternalSessionHandling=true publicDashboardsScene=true newTimeRangeZoomShortcuts=true
grafana-1  | logger=sqlstore t=2026-03-21T15:56:42.002996113Z level=info msg="Connecting to DB" dbtype=sqlite3
grafana-1  | logger=sqlstore t=2026-03-21T15:56:42.003000413Z level=info msg="Using SQLite driver" driver="mattn/go-sqlite3 (CGO enabled)"
grafana-1  | logger=migrator t=2026-03-21T15:56:42.010364771Z level=info msg="Locking database"
grafana-1  | logger=migrator t=2026-03-21T15:56:42.010410472Z level=info msg="Starting DB migrations"
grafana-1  | logger=migrator t=2026-03-21T15:56:42.029074372Z level=info msg="migrations completed" performed=0 skipped=710 duration=930.02??s
grafana-1  | logger=migrator t=2026-03-21T15:56:42.029536881Z level=info msg="Unlocking database"
grafana-1  | logger=secrets t=2026-03-21T15:56:42.029863388Z level=info msg="Envelope encryption state" currentprovider=secretKey.v1
